day,symbol,entry_time_et,entry_price,high_pct,high_at_et,low_pct,low_at_et,reached_5pct,note,qualification
2026-08-24,XPON,09:30:45,8.360000,6.2201,09:33,-18.3014,09:52,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-24,BTCT,09:35:00,1.700000,0.5882,09:35,-14.1176,09:42,False,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-25,DAIC,09:30:21,3.660000,37.1585,09:38,-0.2732,09:30,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,DAIC,09:30:04,6.110000,9.1653,09:30,-18.1669,09:58,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,VCIG,09:30:10,3.980000,3.7688,09:30,-13.3166,09:30,False,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,MSS,09:30:15,,,-,,-,,UNANSWERABLE: no fresh positive ask at the crossing,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,09:30:42,6.370000,15.8556,09:32,-11.1460,09:49,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,YYGH,09:31:37,1.970000,4.5685,09:43,-10.1523,09:56,False,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,PPCB,09:30:05,3.550000,16.0563,09:32,-13.5211,09:48,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,09:30:10,7.250000,13.5172,09:36,-3.4483,09:30,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,09:30:13,6.760000,13.7574,09:34,-12.7219,09:48,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,RDHL,09:30:53,1.390000,14.3885,09:41,-34.5324,09:47,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,09:34:26,2.490000,5.2209,09:35,-11.6466,09:54,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,BIAF,09:30:05,7.730000,11.2549,09:38,-34.5408,09:45,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,LIDR,09:34:13,1.610000,1.8634,09:34,-8.6957,09:39,False,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-01,SSM,09:37:41,3.870000,13.4367,09:48,-4.9096,09:54,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-02,PPBT,09:30:22,2.400000,7.5000,09:33,-9.5833,09:38,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-02,VIVK,09:30:29,1.110000,1.8018,09:30,-9.9099,09:33,False,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-02,LHAI,09:58:44,1.230000,0.8130,09:58,-4.0650,09:59,False,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-03,MIMI,09:30:08,1.140000,3.5088,09:30,-18.7807,09:45,False,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-09-03,GELS,09:30:34,1.020000,8.8235,09:37,-11.7745,09:38,True,ASSUMED ASK FILL,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
